FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
36103158111,Census Tract 1581.11,Suffolk County,New York,0.3442,0.291497975708502,0.3147773279352227,0.5249198484406878,0.313233860862301,0.006109979633401222,0.0,0.0,0.0,0.04854368932038835,0.020595690747782003
36103158112,Census Tract 1581.12,Suffolk County,New York,0.3265,0.23485477178423236,0.20580912863070538,0.6197674418604651,0.11554121863799283,0.0,0.0,0.09813874788494077,0.0,0.109375,0.013313967562333575
36103158114,Census Tract 1581.14,Suffolk County,New York,0.4475,0.29324699352451433,0.28122109158186864,0.771755961598018,0.09499152270540256,0.0,0.13846153846153847,0.10650887573964497,0.0,0.0,0.024667315806556313
36103158116,Census Tract 1581.16,Suffolk County,New York,0.434,0.3085399449035813,0.30991735537190085,0.6698066435299951,0.2205010799136069,0.022727272727272728,0.0,0.0,0.0,0.0,0.04501607717041801
36103158117,Census Tract 1581.17,Suffolk County,New York,0.4237,0.11839530332681017,0.13209393346379647,0.7213114754098361,0.4361687422245121,0.0,0.0,0.0,0.0,0.0,0.015527950310559006
36103158118,Census Tract 1581.18,Suffolk County,New York,0.4138,0.21736011477761835,0.3472022955523673,0.7505405405405405,0.3625498458027857,0.0,0.0,0.30663615560640733,,0.0,0.06275303643724696
36103158119,Census Tract 1581.19,Suffolk County,New York,0.375,0.30846325167037864,0.32293986636971045,0.6451209992193598,0.19372025867328257,0.0,0.0,0.110337972166998,0.16326530612244897,0.0,0.002601203056413591
36103158120,Census Tract 1581.20,Suffolk County,New York,0.3181,0.2845894263217098,0.31158605174353204,0.6808433296982915,0.46063349308719403,0.0,0.0,0.0,0.0,0.0,0.010720887245841035
36103158205,Census Tract 1582.05,Suffolk County,New York,0.3727,0.48514851485148514,0.5405940594059406,0.8998060762766645,0.04533368534198268,0.0,,0.0,,0.0,0.008849557522123894
36103158206,Census Tract 1582.06,Suffolk County,New York,0.4579,0.2765544041450777,0.29468911917098445,0.781701030927835,0.13293747331420236,0.03479381443298969,0.0,0.24470134874759153,,0.0,0.042638777152051485
36103158207,Census Tract 1582.07,Suffolk County,New York,0.4196,0.4783769353977576,0.4751735184196476,0.8006502743344849,0.15134846645834943,0.021611001964636542,0.0,0.0,0.0,0.0,0.00911210002119093
36103158208,Census Tract 1582.08,Suffolk County,New York,0.3567,0.3950534759358289,0.35561497326203206,0.7405381754539488,0.0960917197452229,0.0,0.0,0.007882882882882882,,0.0,0.027367920038077104
36103158209,Census Tract 1582.09,Suffolk County,New York,0.4535,0.1875,0.28125,0.47109745881038817,0.08561244933140755,0.004459308807134894,0.0,0.0136,0.0,0.17959183673469387,0.04247787610619469
